name,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000277248.1,0,0,0,0,0,0
ENSG00000274237.1,0,0,0,0,0,0
ENSG00000280363.1,0,0,0,0,0,0
ENSG00000279973.1,0,0,0,0,0,0
ENSG00000226444.2,0,0,0,0,0,0
ENSG00000276871.1,0,0,0,0,0,0
ENSG00000277683.1,0,0,0,0,0,0
ENSG00000277821.1,0,0,0,0,0,0
ENSG00000273663.1,0,0,0,0,0,0
ENSG00000278534.1,0,0,0,0,0,0
ENSG00000278398.1,0,0,0,0,0,0
ENSG00000274416.1,0,0,0,0,0,0
ENSG00000278297.1,0,0,0,0,0,0
ENSG00000277861.1,0,0,0,0,0,0
ENSG00000274773.1,0,0,0,0,0,0
ENSG00000277372.1,0,0,0,0,0,0
ENSG00000275065.1,0,0,0,0,0,0
ENSG00000276138.1,0,0,0,0,0,0
ENSG00000280341.1,0,0,0,3,2,0
ENSG00000236235.1,0,0,0,0,0,1
ENSG00000279442.1,0,0,0,0,4,1
ENSG00000184624.4,0,0,0,0,1,0
ENSG00000236097.1,0,0,0,0,2,0
ENSG00000236831.1,0,0,0,0,0,0
ENSG00000130538.4,0,0,0,0,0,0
ENSG00000237299.1,0,0,0,0,3,0
ENSG00000235759.1,0,0,0,0,2,0
ENSG00000233408.1,0,0,0,0,1,0
ENSG00000215268.3,0,0,0,0,2,0
ENSG00000213727.3,0,0,0,0,0,0
ENSG00000230643.1,0,0,0,0,0,0
ENSG00000230471.1,0,0,0,0,3,0
ENSG00000231565.1,0,0,0,0,1,1
ENSG00000226474.1,0,0,0,0,0,0
ENSG00000224435.2,0,0,0,1,4,0
ENSG00000234381.1,0,0,0,0,2,0
ENSG00000198062.14,0,0,1,7,7,11
ENSG00000236666.1,0,0,0,0,2,0
ENSG00000212216.1,0,0,0,0,0,0
ENSG00000241838.3,0,0,0,2,1,2
ENSG00000225255.6,0,0,0,3,1,0
ENSG00000235992.1,0,0,0,0,1,0
ENSG00000206195.10,10,4,8,197,158,176
ENSG00000271127.1,0,1,0,16,9,19
ENSG00000232775.6,0,1,3,25,24,24
ENSG00000272872.1,4,2,0,98,38,49
ENSG00000271672.1,0,0,0,0,0,0
ENSG00000223875.2,0,0,0,5,3,0
ENSG00000215270.3,0,0,0,11,6,6
ENSG00000229286.1,0,0,0,0,0,0
ENSG00000233866.1,0,0,0,0,3,0
ENSG00000278188.1,0,0,0,0,0,0
ENSG00000278335.1,0,0,0,0,0,0
ENSG00000225293.1,0,0,0,0,2,0
ENSG00000226160.1,0,0,0,0,0,0
ENSG00000229658.1,0,0,0,0,1,0
ENSG00000227367.1,0,0,0,0,1,0
ENSG00000280263.1,0,0,0,0,0,0
ENSG00000235969.1,0,0,0,0,0,0
ENSG00000273362.1,0,0,0,0,0,0
ENSG00000233995.1,0,0,0,0,0,0
ENSG00000239435.2,0,0,0,2,1,1
ENSG00000198445.4,0,0,0,1,2,0
ENSG00000240122.1,0,0,0,0,0,0
ENSG00000221084.1,0,0,0,0,1,0
ENSG00000100181.21,19,23,20,141,94,122
ENSG00000267338.1,0,0,1,3,4,2
ENSG00000249288.1,0,0,0,2,2,4
ENSG00000249263.2,0,0,0,1,1,2
ENSG00000189295.13,0,1,0,3,3,0
ENSG00000259271.1,0,0,0,2,0,1
ENSG00000273244.1,0,0,0,0,0,0
ENSG00000241717.1,2,2,4,1,2,0
ENSG00000235343.1,0,0,0,1,0,0
ENSG00000172967.7,0,0,0,3,4,8
ENSG00000229027.3,0,0,0,0,0,0
ENSG00000234121.1,0,0,0,0,0,0
ENSG00000237835.1,0,0,0,0,0,0
ENSG00000220248.1,0,0,0,1,1,0
