name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100321.14,526.8,1012.4,41.2,0.04,-4.6,0.15,-31.54,2.8e-218,2.7e-215,0,0,986.6,1026,1024.6,37.4,50.3,36
ENSG00000100167.19,500.7,960.7,40.7,0.042,-4.6,0.15,-30.59,1.7e-205,1.6e-202,0,0,932.3,933.4,1016.3,37.4,37.5,47.1
ENSG00000128245.14,797.3,1361,233.6,0.172,-2.5,0.09,-29.38,9.4e-190,9.2e-187,0,0,1330.6,1402.7,1349.6,232.8,217.1,251
ENSG00000100316.15,1709.8,828.2,2591.4,3.136,1.6,0.07,24.31,1.7e-130,1.7e-127,0,0,852.2,783.2,849.1,2789.8,2373.9,2610.6
ENSG00000241973.10,819.2,1314,324.5,0.246,-2,0.09,-23.21,3.5e-119,3.5e-116,0,0,1425,1246.3,1270.7,300,338.4,335
ENSG00000100095.18,271.8,528,15.6,0.029,-5.1,0.23,-22.45,1.2e-111,1.2e-108,0,0,516,522.8,545.3,11.1,16.8,18.8
ENSG00000225783.6,272.7,514.2,31.1,0.06,-4.1,0.18,-22.18,5.3e-109,5.2e-106,0,0,554.7,466.2,521.7,29.8,33.5,30
ENSG00000008735.13,282,552.9,11.2,0.02,-5.7,0.26,-21.91,1.9e-106,1.9e-103,0,0,530.2,560.9,567.6,9,16.8,7.7
ENSG00000184702.17,368.3,639.9,96.8,0.152,-2.7,0.13,-21.71,1.5e-104,1.5e-101,0,0,622,653.5,644.2,100.5,95.7,94.2
ENSG00000251322.7,244.1,460.1,28.2,0.062,-4,0.19,-21.37,2.7e-101,2.6e-98,0,0,469.4,469.3,441.6,29.8,24.7,30
ENSG00000100345.20,1155.7,559.6,1751.8,3.139,1.7,0.08,21.11,6.3e-99,6.1e-96,0,0,580.6,526.9,571.2,1860.1,1586.5,1808.7
ENSG00000183741.11,595.8,943.4,248.2,0.264,-1.9,0.09,-20.52,1.5e-93,1.4e-90,0,0,954.3,898.4,977.5,250.8,236.8,257
ENSG00000100219.16,386.5,94.9,678.1,7.124,2.8,0.14,20.28,1.8e-91,1.7e-88,0,0,86.6,105,93,749.6,627.5,657.2
ENSG00000221890.2,262.7,475.8,49.6,0.104,-3.3,0.16,-20.09,9.2e-90,8.9e-87,0,0,504.3,459,464,47.8,58.2,42.8
ENSG00000167074.14,219.5,410,29.1,0.071,-3.8,0.19,-19.83,1.7e-87,1.6e-84,0,0,433.2,395.2,401.6,29.8,33.5,24
ENSG00000100427.15,185,359.7,10.4,0.028,-5.1,0.28,-18.51,1.9e-76,1.8e-73,0,0,384.1,333.4,361.5,9,11.8,10.3
ENSG00000128268.11,175.4,330.9,19.9,0.061,-4,0.22,-18.04,1.0e-72,9.9e-70,0,0,332.3,337.6,322.7,24.2,14.8,20.6
ENSG00000100285.9,147,273.8,20.1,0.073,-3.8,0.23,-16.14,1.3e-58,1.3e-55,0,0,250.9,272.7,297.9,18.7,23.7,18
ENSG00000100097.11,293.4,94.9,491.8,5.192,2.4,0.15,16.11,2.3e-58,2.2e-55,0,0,97,95.7,91.9,505,441,529.5
ENSG00000130540.13,178.5,352.6,4.3,0.012,-6.4,0.4,-16.02,9.6e-58,9.3e-55,0,0,375,343.7,339.2,3.5,6.9,2.6
ENSG00000128266.8,142.6,264.9,20.4,0.078,-3.7,0.23,-15.8,3.3e-56,3.1e-53,0,0,288.4,254.2,252,22.2,16.8,22.3
ENSG00000100307.12,134.5,249.6,19.5,0.078,-3.7,0.24,-15.48,4.8e-54,4.6e-51,0,0,239.2,264.5,245,17.3,20.7,20.6
ENSG00000100297.15,193.3,36.8,349.7,9.549,3.3,0.21,15.44,9.4e-54,9.0e-51,0,0,37.5,32.9,40,376.9,290.1,382.1
ENSG00000237517.8,126.2,245.4,7.1,0.028,-5.1,0.34,-15.36,3.0e-53,2.9e-50,0,0,253.4,246,236.7,5.5,8.9,6.9
ENSG00000099901.16,239.5,75.3,403.8,5.354,2.4,0.16,15.24,1.9e-52,1.8e-49,0,0,67.2,76.2,82.4,410.8,393.7,407
ENSG00000100353.17,327,136.7,517.3,3.795,1.9,0.13,14.41,4.7e-47,4.5e-44,0,0,133.2,122.5,154.3,516.1,487.4,548.3
ENSG00000100241.20,604.9,855.4,354.4,0.415,-1.3,0.09,-14.13,2.7e-45,2.5e-42,0,0,881.9,864.5,819.7,367.2,334.5,361.6
ENSG00000167037.18,99.1,192.4,5.8,0.029,-5.1,0.38,-13.62,3.1e-42,2.9e-39,0,0,195.3,192.4,189.6,3.5,7.9,6
ENSG00000128272.14,627.5,368.7,886.2,2.407,1.3,0.09,13.47,2.3e-41,2.2e-38,0,0,376.3,368.4,361.5,938,808.1,912.5
ENSG00000196419.12,709.3,448.1,970.6,2.171,1.1,0.08,13.37,9.2e-41,8.7e-38,0,0,472,427.1,445.2,991.4,960,960.5
ENSG00000219438.8,94.5,175.5,13.4,0.076,-3.7,0.29,-13.05,6.5e-39,6.2e-36,0,0,181,167.7,177.8,12.5,15.8,12
ENSG00000100320.22,577.6,799.9,355.3,0.444,-1.2,0.09,-12.85,8.1e-38,7.7e-35,0,0,803,759.5,837.3,356.8,362.1,347
ENSG00000243156.7,305.8,460.1,151.6,0.329,-1.6,0.13,-12.35,4.8e-35,4.5e-32,0,0,438.4,441.5,500.5,146.2,143.1,165.4
ENSG00000131100.12,326,478.2,173.8,0.363,-1.5,0.12,-12.09,1.2e-33,1.2e-30,0,0,506.9,467.2,460.5,169,178.6,173.9
ENSG00000100346.17,74.8,146.8,2.8,0.017,-5.9,0.53,-11.01,3.3e-28,3.1e-25,0,0,137.1,143,160.2,1.4,6.9,0
