# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-a" "/home/dagsdags/pipelines/rnaseq/practice/data/refs/22.gtf" "-o" "/home/dagsdags/pipelines/rnaseq/practice/output/counts.txt" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_1.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_2.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_3.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_1.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_2.bam" "/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_3.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_1.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_2.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/HBR_3.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_1.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_2.bam	/home/dagsdags/pipelines/rnaseq/practice/data/bam/UHR_3.bam
ENSG00000277248.1	chr22	10736171	10736283	-	113	0	0	0	0	0	0
ENSG00000274237.1	chr22	10936023	10936161	-	139	0	0	0	0	0	0
ENSG00000280363.1	chr22;chr22	11065974;11067335	11066015;11067346	-;-	54	0	0	0	0	0	0
ENSG00000279973.1	chr22;chr22	11066501;11067985	11066515;11068089	+;+	120	0	0	0	0	0	0
ENSG00000226444.2	chr22;chr22	11124337;11124508	11124379;11125705	+;+	1241	0	0	0	0	0	0
ENSG00000276871.1	chr22	11249809	11249959	-	151	0	0	0	0	0	0
ENSG00000277683.1	chr22	11253605	11253719	-	115	0	0	0	0	0	0
ENSG00000277821.1	chr22	11275565	11275637	-	73	0	0	0	0	0	0
ENSG00000273663.1	chr22	11456856	11456937	+	82	0	0	0	0	0	0
ENSG00000278534.1	chr22	11478158	11478241	-	84	0	0	0	0	0	0
ENSG00000278398.1	chr22	11607867	11607939	-	73	0	0	0	0	0	0
ENSG00000274416.1	chr22	11628660	11628774	+	115	0	0	0	0	0	0
ENSG00000278297.1	chr22	11685895	11685976	+	82	0	0	0	0	0	0
ENSG00000277861.1	chr22	12629372	12629473	-	102	0	0	0	0	0	0
ENSG00000274773.1	chr22	12779259	12779341	-	83	0	0	0	0	0	0
ENSG00000277372.1	chr22	12779976	12780057	-	82	0	0	0	0	0	0
ENSG00000275065.1	chr22	12780120	12780203	-	84	0	0	0	0	0	0
ENSG00000276138.1	chr22	15273855	15273961	+	107	0	0	0	0	0	0
ENSG00000280341.1	chr22	15282557	15288670	-	6114	0	0	0	3	2	0
ENSG00000236235.1	chr22;chr22;chr22;chr22;chr22	15290718;15290995;15295332;15295730;15297157	15290836;15291024;15295410;15295832;15297196	+;+;+;+;+	371	0	0	0	0	0	1
ENSG00000279442.1	chr22	15298378	15304556	-	6179	0	0	0	0	4	1
ENSG00000184624.4	chr22;chr22;chr22	15326037;15342360;15342945	15327756;15342426;15343065	-;-;-	1908	0	0	0	0	1	0
ENSG00000236097.1	chr22	15349467	15350043	+	577	0	0	0	0	2	0
ENSG00000236831.1	chr22;chr22;chr22	15489990;15490872;15492486	15490131;15490947;15492564	+;+;+	297	0	0	0	0	0	0
ENSG00000130538.4	chr22	15528158	15529139	+	982	0	0	0	0	0	0
